题干,A,B,C,D,E,F,答案,uncertain,incorrect,question_index
一个字节包含 ________ 位,4,8,12,16,,,B,,0,408
Which of the following statements is correct?,Every line in a program must end with a semicolon,Every statement in a program must end with a semicolon,Every comment line must end with a semicolon,Every method must end with a semicolon,,,B,,0,0
java字节码文件的后缀是,.java,.obj,.class,.exe,,,C,,0,0
Java ___________ can run from a Web browser,applications,applets,servlets,Micro Edition programs,,,B,,0,0
Every statement in Java ends with ____,a semicolon (;),"a comma (,)",a period (.),an asterisk (*),,,A,,0,0
Computer can execute the code in ____________.,assembly language,high-level language,machine language,none of the above,,,C,,0,0
___________ translates high-level language program into machine language program,An assembler,A compiler,CPU,The operating system,,,B,,0,0
属于解释性程序是________,java,c++,c,vb,,,A,,1,0
Which JDK command is correct to run a Java application in ByteCode.class?,java ByteCode,java ByteCode.class,javac ByteCode.java,javac ByteCode,,,A,,0,0
"Suppose you define a Java class as follows:
public class Test {
}
In order to compile this program, the source code should be stored in a file named",Test.java,Any name with extension .java,Test.class,test.java,,,A,,0,0
"Suppose you define a Java class as follows:
class Test {
}
In order to compile this program, the source code should be stored in a file named",Test.java,Any name with extension .java,Test.class,test.java,,,B,,1,0
main函数声明正确的是,public static void main(string[] args),public static void Main(String[] args),public static void main(String[] args),public static main(String args[]),,,C,,0,0
JDK是( ),一种全新的程序语言,一种程序开发辅助工具,"一种由Java写成的,并支持Java Applet的浏览器",一种游戏软件,,,B,,0,0
"JDK命令编译Test.java,正确的是?",java Test,java Test.java,javac Test.java,javac Test,,,C,,0,0
_________ is a software that interprets Java bytecode,Java virtual machine,Java compiler,Java debugger,"Java API

",,,A,A,0,0
________ is Architecture-Neutral体系结构,VB,c++,c,java,,,D,,0,0
________ is a technical definition of the language that includes the syntax and semantics of the Java programming language,Java language specification 语言规范,Java API,Java JDK,Java IDE,,,A,,1,0
"________ provides an integrated development environment (IDE) for rapidly developing Java programs. Editing, compiling, building, debugging, and online help are integrated in one graphical user interface",Java language specification,Java API,Java JDK,Java IDE,,,C,,1,0
"Java程序的执行过程中用到一套JDK工具,其中java.exe是指( )",Java文档生成器,Java解释器,Java编译器,Java类分解器,,,B,C,1,0
"Java语言具有许多优点和特点,哪个反映了Java程序并行机制的特点?(",安全性,多线性,跨平台,可移植,,,B,,0,0
"下列关于Java语言的特点,描述错误的是(  )

",Java是跨平台的编程语言,"Java支持分布式计算
",Java是面向过程的编程语言,Java支持多线程,,,C,,0,0
"在 Java 中,由Java编译器自动导入,而无需在程序中用import导入的包是(       )",ava.applet,java.awt,java.util,java.lang,,,D,,0,0
"运行下段代码后,z的结果为??   
int a = 1, z=0;
 do {
   ++z; 
   } while(a < 0)",0,1,2,3,,,B,,0,0
"运行下段代码后,x的结果为?
int x = 3;
int y = 2;
x *= y + 1;",6,7,8,9,,,D,,0,0
"有如下程序段:
int total = 0;
for ( int i = 0; i < 4; i++ ){
if ( i == 1) continue;
if ( i == 2) break;
total += i;
}
则执行完该程序段后total的值为:",0,1,3,6,,,A,,0,0
有关类的说法正确的是? ( ),"类具有封装性,所以类的数据是不能被访问的","类具有封装性,但可以通过类的公共接口访问类中的数据","声明一个类时,必须用public修饰符","每个类中,必须有main方法,否则程序无法运行",,,B,,0,0
以下关于构造函数的描述错误的是,构造函数的返回类型只能是void型,"构造函数是类的一种特殊函数,它的方法名必须与类名相同",构造函数的主要作用是完成对类的对象的初始化工作,"一般在创建新对象时,系统会自动调用构造函数",,,A,,0,0
下述概念中不属于面向对象方法的是,对象、消息,继承、多态,类、封装,过程调用,,,D,,0,0
"下面的选项中,哪一项不属于""汽车类""的行为",启动,刹车,减速,速度,,,D,,0,0
"下列说法中,不正确的是(   )","一个java源程序经过编译后,得到的文件的扩展名一定是.class","一个java源程序编译通过后,得到的结果文件数也只有一个","一个java源程序只能有一个public class类定义,且源文件的名字与public class的类名相同,扩展名必须是.java",一个java源程序可以包含多个class类,,,B,B,0,0
下列说法正确的有( ),class中的constructor不可省略,"constructor必须与class同名,但方法不能与class同名",constructor在一个对象被new时执行,一个class只能定义一个constructor,,,C,,0,0
"设已声明了一个类A的两个对象a1,a2,为了初始化 a1和a2,下面语句正确的是","a1,a2=new A(); 
",a1=A.new(); a2=A.new();,"a1=new();a2=new(); 
","a1=new A();a2=new A(); 
",,,D,,0,0
"若JAVA程序中定义了3个类,编译后可生成()个字节码文件.",4,3,2,1,,,B,B,0,0
哪个关键字修饰的变量和方法不能从其他类访问?,protected,public,private,default,,,C,,0,0
哪个关键字声明一个常量?,protected,static,final,default,,,C,,0,0
哪个表达式的结果为0.5?,1 / 2,(double) (1 / 2),(double) 1 / 2,1 \ 2,,,C,,0,0
不是构造函数特点的是(      ),构造函数与类名相同,构造函数可带参数也可不带,构造函数带有返回类型,构造函数主要完成对类对象的初始工作,,,C,,0,0
"编译Java  Application 源程序文件将产生相应的字节码文件,这些字节码文件的扩展名为(      ).",.java,.class,.obj,.jdk,,,B,,0,0
"You have a public class called myclass with the main method defined as follows
public static void main(String parm[]){
    System.out.println(parm[0]);
}
If you attempt to compile the class and run the program as follows
java myclass hello
What will happen?","Compile time error, main is not correctly defined","Run time error, main is not correctly defined",Compilation and output of  java,Compilation and output of hello,,,D,,0,0
Which specifier essentially declares a variable a global variable?,protected,static,final,default,,,B,,0,0
Which of the following statement prints smith\exam1\test.txt?,"System.out.println(""smith\exam1\test.txt"");","System.out.println(""smith\\exam1\\test.txt"");","System.out.println(""smith\""exam1\""test.txt"");","System.out.println(""smith""\exam1""\test.txt"");",,,B,,0,0
Which of the following is the correct expression of character 4?,4,"""4""",'4','\0004',,,C,,0,0
Which of the following is not an advantage of using methods?,Using methods makes program run faster,Using methods makes reusing code easier,Using methods makes programs easier to read,Using methods hides detailed implementation from the clients,,,A,,0,0
"Which of the following can be placed in the blank line in the following code?
public class Test {
  private static int id;
  
  public static void m1() {
    _____.id = 45;
  }
}",this,Test,test,super,,,B,,0,0
"Which of the following can be placed in the blank line in the following code?
public class Test {
  private int id;
  
  public void m1() {
    _____.id = 45;
  }
}",this,Test,test,super,,,A,,0,0
Which access specifier allows class members to be accessed by any class in its own package?,protected,public,private,default,,,D,,1,0
"What is the value of b after execution?  
int x, b=0;
 for(x = 0; x <= 5; ++x){
   if (x == 2) break;
    ++b;
 }",0,1,2,3,,,C,,0,0
"What is the value of b after execution?   
int x, b=0;
 for(x = 0; x <= 5; ++x){
   if (x == 2) continue;
    ++b;
 }",5,4,3,2,,,A,,0,0
"What is the printout of the following code:
double x = 5.5;
int y = (int)x;
System.out.println(""x is "" + x + "" and y is "" + y);",x is 5 and y is 6,x is 6.0 and y is 6.0,x is 6 and y is 6,x is 5.5 and y is 5,,,D,,0,0
"What code may be filled in the blank without causing syntax or runtime errors:
public class Test {
  java.util.Date date;
  public static void main(String[] args) {
    Test test = new Test();
    System.out.println(_________________);
  }
}",test.date,date,test.date.toString(),date.toString(),,,A,C,1,0
"To improve readability and maintainability, you should declare _________ instead of using 
literal values such as 3.14159.",variables,methods,constants,classes,,,C,,0,0
"To declare a constant MAX_LENGTH inside a method with value 99.98, you write",final MAX_LENGTH = 99.98;,final float MAX_LENGTH = 99.98;,double MAX_LENGTH = 99.98;,final double MAX_LENGTH = 99.98;,,,D,,0,0
"To add number to sum, you write",number += sum;,number = sum + number;,sum = Number + sum;,sum += number;,,,D,,0,0
"The default value for data field of a boolean type, numeric（数值） type, object type is ___________, respectively","true, 1, Null","false, 0, null","true, 0, null","true, 1, null",,,B,,0,0
"Test.java程序代码如下:
1) public class Test{
2) public static void main(String[] args){
3) System.out.println(args[1]);
4) }
5) }
以上程序编译后用java Test 2 3 4 5运行的输出结果是什么? (    )",2,3,4,5,,,B,,0,0
"System.out.println(""5"" + 2);的输出结果应该是",52,7,2,编译错,,,A,,0,0
Suppose x is a char variable with a value 'b'. What is the printout of the statement System.out.println(++x)?,a,b,c,d,,,C,,0,0
Main()方法的返回类型是:,boolean,void,String,static,,,B,,0,0
"Java的字符类型采用的是Unicode编码方案,每个Unicode码占用(   )个比特位",8,16,32,64,,,B,B,0,0
"In the program segment below, which line prints?  
int x=3, y=5; 
if (x < y) 
System.out.println(""X= ""+x); 
System.out.println(""Y= ""+y);",The first one,The second one,Both,Neither,,,C,,0,0
"How many times will the print statement execute?  
for (x=0; x<=5; ++x) {
   System.out.println(""X= ""+x); 
   --x;}",3,4,5,An infinite number of times,,,D,,0,0
"Given:
1. public void go() {
2. String o = """";
3. z:
4. for(int x = 0; x < 3; x++) {
5. for(int y = 0; y < 2; y++) {
6. if(x==1) break;
7. if(x==2 && y==1) break z;
8. o = o + x + y;
9. }
10. }
11. System.out.println(o);
12. }
What is the result when the go() method is invoked?",00,0001,000120,00012021,,,C,C,0,0
"Given:
1. public class TestString1 {
2. public static void main(String[] args) {
3. String str = ""420"";
4. str += 42;
5. System.out.print(str);
6. }
7. }
What is the output?",42,420,462,42042,,,D,,0,0
"Given:
1. public class Test {
2. public static void main(String [] args) {
3. int x = 5;
4. boolean b1 = true;
5. boolean b2 = false;
6.
7. if ((x == 4) && !b2 )
8. System.out.print(""1 "");
9. System.out.print(""2 "");
10. if ((b2 = true) && b1 )
11. System.out.print(""3 "");
12. }
13. }
What is the result?",2,3,1 2,2 3,,,D,,1,0
"Analyze the following code:
public class Test {
  public static void main(String[] args) {
    double radius;
    final double PI= 3.15169;
    double area = radius * radius * PI;
    System.out.println(""Area is "" + area);
  }
}",The program has compile errors because the variable radius is not initialized,The program has a compile error because a constant PI is defined inside a method,The program has no compile errors but will get a runtime error because radius is not initialized,The program compiles and runs fine,,,A,,0,0
An object is an instance of a __________.,program,class,method,data,,,B,,0,0
A variable that is declared inside a method is called ________ variable,a static,an instance,a local,a global,,,C,,0,0
__________ represents an entity（实体） in the real world that can be distinctly identified.,A class,An object,A method,A data field,,,B,,0,0
________ is invoked to create an object,A constructor,The main method,A method with a return type,A method with the void return type,,,A,,0,0
(double)(5/2)的值为?,2,2.0,2.5,3,,,B,,0,0
"To assign a value 1 to variable x, you write",1 = x;,x = 1;,x := 1;,x == 1;,,,B,,0,0
