题干,A,B,C,D,答案,Unnamed: 6,uncertain,incorrect,question_index
电子计算机技术在半个世纪中虽有很大的进步，但至今其运行仍遵循着一位科学家提出的基本原理。他就是（   ）。,牛顿,爱因斯坦,爱迪生,冯·诺依曼,D,,,0,0
目前我们所说的个人台式商用计算机属于（   ）。,巨型机,中型机,小型机,微型机,D,,,0,0
冯·诺依曼机工作方式的基本特点是（   ）。,多指令流单数据流,按地址访问并顺序执行指令,堆栈操作,存储器按内容选择地址,B,,,0,0
至今为止，计算机中的所有信息仍以二进制方式表示，其理由是（   ）。,节约元件,运算速度快,物理器件性能决定,信息处理方便,C,,,0,0
对计算机的软、硬件资源进行管理，是（   ）的功能。,操作系统,数据库管理系统,语言处理程序,用户程序,A,,,0,0
CPU的组成中不包含（   ）。,存储器,寄存器,控制器,运算器,A,,,0,0
主机中能对指令进行译码的器件是（   ）。,ALU,运算器,控制器,存储器,C,,,0,0
许多企事业单位现在都使用计算机计算、管理职工工资，这属于计算机的（   ）应用领域。,科学计算,数据处理,过程控制,辅助工程,B,,,0,0
微型计算机的发展以（   ）技术为标志。,操作系统,微处理器,磁盘,软件,B,,,0,0
邮局对信件进行自动分拣，使用的计算机技术是（   ）。,机器翻译,自然语言理解,机器证明,模式识别,D,,,0,0
电子邮件是指（   ）。,用计算机管理邮政信件,通过计算机网络收发消息,用计算机管理电话系统,用计算机处理收发报业务,B,,,0,0
微型计算机的工作环境要求室温一般在15～35度，室温过低容易造成（   ）。,磁盘读写出错,静电干扰,机内元器件受潮变质,散热不好，烧毁电源,A,,,0,0
下列关于微处理器的描述中，（   ）是正确的。,微处理器就是一台微机,微处理器是微机系统,微处理器就是主机,微处理器可以用作微机的CPU,D,,,0,0
下列的四个叙述中，只有一个是正确的，它是（   ）。,系统软件就是买来的软件，应用软件就是自己编写的软件,外存上的信息可以直接进入CPU被处理,用机器语言编写的程序可由计算机直接执行,说一台计算机配置了FORTRAN语言，就是说它一开机就可以用FORTRAN语言编写和执行程序,C,,,0,0
